TradeSummary(id=1151, instrument=EUR_JPY, price=118.383, openTime=2020-03-16T20:05:40.715747070Z, state=CLOSED, initialUnits=-500, initialMarginRequired=22.8030, currentUnits=0, realizedPL=-3.0324, unrealizedPL=null, marginUsed=null, averageClosePrice=119.176, closingTransactionIDs=[1361], financing=-0.0337, closeTime=2020-03-17T08:04:09.974923986Z, clientExtensions=null, takeProfitOrderID=1152, stopLossOrderID=1153, trailingStopLossOrderID=null)
TradeSummary(id=1155, instrument=EUR_JPY, price=118.398, openTime=2020-03-16T20:06:41.060563539Z, state=CLOSED, initialUnits=-580, initialMarginRequired=26.4695, currentUnits=0, realizedPL=-3.4511, unrealizedPL=null, marginUsed=null, averageClosePrice=119.176, closingTransactionIDs=[1361], financing=-0.0391, closeTime=2020-03-17T08:04:09.974923986Z, clientExtensions=null, takeProfitOrderID=1156, stopLossOrderID=1157, trailingStopLossOrderID=null)
TradeSummary(id=1127, instrument=USD_JPY, price=106.033, openTime=2020-03-16T20:02:38.928614532Z, state=CLOSED, initialUnits=-450, initialMarginRequired=18.3709, currentUnits=0, realizedPL=-3.3006, unrealizedPL=null, marginUsed=null, averageClosePrice=106.992, closingTransactionIDs=[1369], financing=-0.0451, closeTime=2020-03-17T08:04:13.542224449Z, clientExtensions=null, takeProfitOrderID=1128, stopLossOrderID=1129, trailingStopLossOrderID=null)
TradeSummary(id=1147, instrument=GBP_JPY, price=129.783, openTime=2020-03-16T20:05:40.405430235Z, state=CLOSED, initialUnits=-830, initialMarginRequired=41.5000, currentUnits=0, realizedPL=-6.4624, unrealizedPL=null, marginUsed=null, averageClosePrice=130.801, closingTransactionIDs=[1373], financing=-0.0700, closeTime=2020-03-17T08:04:16.155529802Z, clientExtensions=null, takeProfitOrderID=1148, stopLossOrderID=1149, trailingStopLossOrderID=null)
TradeSummary(id=1405, instrument=XAU_USD, price=1477.760, openTime=2020-03-17T09:36:44.693390243Z, state=CLOSED, initialUnits=1, initialMarginRequired=60.6358, currentUnits=0, realizedPL=-2.6362, unrealizedPL=null, marginUsed=null, averageClosePrice=1474.550, closingTransactionIDs=[1408], financing=0.0000, closeTime=2020-03-17T09:37:18.477675589Z, clientExtensions=ClientExtensions(id=236194584, tag=0, comment=null), takeProfitOrderID=null, stopLossOrderID=null, trailingStopLossOrderID=null)
TradeSummary(id=1401, instrument=GBP_JPY, price=129.674, openTime=2020-03-17T09:36:15.400871276Z, state=CLOSED, initialUnits=580, initialMarginRequired=29.0000, currentUnits=0, realizedPL=-0.4655, unrealizedPL=null, marginUsed=null, averageClosePrice=129.570, closingTransactionIDs=[1410], financing=0.0000, closeTime=2020-03-17T09:37:20.949944718Z, clientExtensions=null, takeProfitOrderID=1402, stopLossOrderID=1403, trailingStopLossOrderID=null)
TradeSummary(id=1393, instrument=EUR_USD, price=1.11063, openTime=2020-03-17T09:12:31.312856951Z, state=CLOSED, initialUnits=1, initialMarginRequired=0.0455, currentUnits=0, realizedPL=0.0003, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11095, closingTransactionIDs=[1414], financing=0.0000, closeTime=2020-03-17T09:37:23.827416465Z, clientExtensions=null, takeProfitOrderID=1394, stopLossOrderID=1395, trailingStopLossOrderID=null)
TradeSummary(id=1418, instrument=NZD_CAD, price=0.84283, openTime=2020-03-17T10:01:58.791752612Z, state=CLOSED, initialUnits=500, initialMarginRequired=12.3075, currentUnits=0, realizedPL=-1.1764, unrealizedPL=null, marginUsed=null, averageClosePrice=0.83881, closingTransactionIDs=[1441], financing=0.0000, closeTime=2020-03-17T10:24:42.803861092Z, clientExtensions=null, takeProfitOrderID=1419, stopLossOrderID=1420, trailingStopLossOrderID=null)
TradeSummary(id=1438, instrument=EUR_JPY, price=118.295, openTime=2020-03-17T10:12:41.625147338Z, state=CLOSED, initialUnits=-620, initialMarginRequired=28.2667, currentUnits=0, realizedPL=1.6336, unrealizedPL=null, marginUsed=null, averageClosePrice=117.954, closingTransactionIDs=[1446], financing=0.0000, closeTime=2020-03-17T10:48:57.397176774Z, clientExtensions=null, takeProfitOrderID=1439, stopLossOrderID=1440, trailingStopLossOrderID=null)
TradeSummary(id=1430, instrument=EUR_JPY, price=118.259, openTime=2020-03-17T10:06:39.126003408Z, state=CLOSED, initialUnits=-620, initialMarginRequired=28.2553, currentUnits=0, realizedPL=0.8277, unrealizedPL=null, marginUsed=null, averageClosePrice=118.086, closingTransactionIDs=[1462], financing=0.0000, closeTime=2020-03-17T10:55:17.670340992Z, clientExtensions=null, takeProfitOrderID=1458, stopLossOrderID=1460, trailingStopLossOrderID=1461)
